,,,
Platform,Version,Release Date,Description
EZ PUBLISH,v1.21,25/07/2016,Font sizes changed - Multi upload of case file - Ask A Lawyer updates
EZ PUBLISH,v1.22,19/08/2016,"Ask A Lawyer, Imprint of emails, Press logos update"
EZ PUBLISH,v1.23,29/08/2016,"New Lawyer selection, Ask A Lawyer fixes"
EZ PUBLISH,v1.24,05/09/2016,"Product groups for insourcing, wording changes, bug fixes on document upload"
EZ PUBLISH,v1.25,13/09/2016,"Video on Product landing pages, bug fixes"
EZ PUBLISH,v1.26,23/09/2016,"Video controls, Lawyer selection card improvement, bug fixes..."
EZ PUBLISH,,27/10/2016,New background pictures + PLP style harmonization
MARKETPLACE,,18/10/2016,2nd row of navigation
MARKETPLACE,,09/12/2016,Modular checkout
MARKETPLACE,,18/01/2017,"PLPs on Wordpress, Remove newsletter signup inside interview, etc..."
MARKETPLACE,,23/01/2017,Magazine new theme
MARKETPLACE,,25/01/2017,"UX improvement on the interview (progress bar, checkout page), trusted shops reviews, back office improvements "
MARKETPLACE,,03/02/2017,PayPal implementation update. PLP new pages. Asset change
MARKETPLACE,,16/02/2017,SEPA (technical part)
MARKETPLACE,,17/02/2017,* New Homepage * New Product Shop * Various buck fixes
MARKETPLACE,,22/02/2017,TM research intermediary page between PLP and interview
MARKETPLACE,,,
MARKETPLACE,,,
MARKETPLACE,,,
MARKETPLACE,,,
MARKETPLACE,,,
MARKETPLACE,,,
MARKETPLACE,,,
MARKETPLACE,,,
MARKETPLACE,,,
MARKETPLACE,,,
MARKETPLACE,,,
MARKETPLACE,,,
Other,,11/11/2016,Die Welt article
